"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value" "norm"
"347" "KhPolQ_K11n_121" 11 0 4 -4 16.2172747402269
"348" "KhPolQ_K11n_121!" 11 0 -4 4 16.2172747402269
"349" "KhPolQ_K11n_122" 11 0 2 -2 9.74679434480896
"350" "KhPolQ_K11n_122!" 11 0 -2 2 9.74679434480896
"351" "KhPolQ_K11n_123" 11 0 0 0 20.6155281280883
"352" "KhPolQ_K11n_123!" 11 0 0 0 20.6155281280883
"353" "KhPolQ_K11n_124" 11 0 -2 2 21.3775583264319
"354" "KhPolQ_K11n_124!" 11 0 2 -2 21.3775583264319
"355" "KhPolQ_K11n_125" 11 0 -2 2 23
"356" "KhPolQ_K11n_125!" 11 0 2 -2 23
"357" "KhPolQ_K11n_126" 11 0 -6 6 9.9498743710662
"358" "KhPolQ_K11n_126!" 11 0 6 -6 9.9498743710662
"359" "KhPolQ_K11n_127" 11 0 2 -2 19.8746069143518
"360" "KhPolQ_K11n_127!" 11 0 -2 2 19.8746069143518
"361" "KhPolQ_K11n_128" 11 0 -2 2 15.1986841535707
"362" "KhPolQ_K11n_128!" 11 0 2 -2 15.1986841535707
"363" "KhPolQ_K11n_129" 11 0 2 -2 15.52417469626
"364" "KhPolQ_K11n_129!" 11 0 -2 2 15.52417469626
"365" "KhPolQ_K11n_130" 11 0 0 0 19.0525588832576
"366" "KhPolQ_K11n_130!" 11 0 0 0 19.0525588832576
"367" "KhPolQ_K11n_131" 11 0 2 -2 24.4335834457412
"368" "KhPolQ_K11n_131!" 11 0 -2 2 24.4335834457412
"369" "KhPolQ_K11n_132" 11 0 0 0 9
"370" "KhPolQ_K11n_132!" 11 0 0 0 9
"371" "KhPolQ_K11n_133" 11 0 -4 4 9
"372" "KhPolQ_K11n_133!" 11 0 4 -4 9
"373" "KhPolQ_K11n_134" 11 0 2 -2 17.1755640373177
"374" "KhPolQ_K11n_134!" 11 0 -2 2 17.1755640373177
"375" "KhPolQ_K11n_135" 11 0 -4 4 3.3166247903554
"376" "KhPolQ_K11n_135!" 11 0 4 -4 3.3166247903554
"377" "KhPolQ_K11n_136" 11 0 -6 6 22.781571499789
"378" "KhPolQ_K11n_136!" 11 0 6 -6 22.781571499789
"379" "KhPolQ_K11n_137" 11 0 4 -4 20.3715487874634
"380" "KhPolQ_K11n_137!" 11 0 -4 4 20.3715487874634
"381" "KhPolQ_K11n_138" 11 0 -2 0 5.3851648071345
"382" "KhPolQ_K11n_138!" 11 0 2 0 5.3851648071345
"383" "KhPolQ_K11n_139" 11 0 0 0 3.3166247903554
"384" "KhPolQ_K11n_139!" 11 0 0 0 3.3166247903554
"385" "KhPolQ_K11n_140" 11 0 2 -2 18.1934053986603
"386" "KhPolQ_K11n_140!" 11 0 -2 2 18.1934053986603
"387" "KhPolQ_K11n_141" 11 0 0 0 7.54983443527075
"388" "KhPolQ_K11n_141!" 11 0 0 0 7.54983443527075
"389" "KhPolQ_K11n_142" 11 0 0 0 12.0415945787923
"390" "KhPolQ_K11n_142!" 11 0 0 0 12.0415945787923
"391" "KhPolQ_K11n_143" 11 0 0 0 4.58257569495584
"392" "KhPolQ_K11n_143!" 11 0 0 0 4.58257569495584
